alleviative,Interoceptive,2.278
alleviator,Interoceptive,2.538
alley,Visual,3.8
alleyway,Visual,4.421
alligator,Visual,4.812
alliterate,Auditory,3
alliteration,Auditory,3.889
allow,Auditory,2.353
allowable,Auditory,2.278
allspice,Gustatory,3.29
allude,Auditory,2.438
allure,Visual,3.611
alluring,Visual,4
almightily,Interoceptive,2.529
almond,Gustatory,4.611
aloe vera,Visual,3.95
aloft,Visual,3.929
aloha,Auditory,3.167
aloneness,Interoceptive,3
aloud,Auditory,4.6
alpaca,Visual,4.278
alphabet,Visual,4.118
alphabetization,Visual,3.889
alphanumeric,Visual,4.421
alpine,Visual,3.765
alright,Interoceptive,3.333
altar,Visual,4.056
altar boy,Visual,4.211
altarpiece,Visual,4.308
alteration,Visual,3.622
altercation,Visual,4.467
alternatively,Interoceptive,1.611
altitude,Interoceptive,3.5
alto,Auditory,2.2
altruistic,Interoceptive,1.938
aluminum,Visual,4.35
aluminum foil,Visual,4.632
am,Interoceptive,2.444
amaretto,Olfactory,2.8
amazed,Interoceptive,3.632
amazement,Interoceptive,4.25
amber,Visual,4.222
ambiance,Visual,3.828
ambidexterous,Haptic,2.414
ambidextrously,Haptic,3.143
ambidextrousness,Visual,3.625
ambiguity,Auditory,3
ambiguousness,Auditory,2.167
ambition,Interoceptive,2.5
ambitionless,Interoceptive,2.312
ambitious,Interoceptive,2.842
ambivalence,Interoceptive,2.056
ambivalent,Interoceptive,2.531
ambulance,Auditory,4.474
amen,Auditory,3.722
amends,Auditory,2.188
amethyst,Visual,4
amiable,Auditory,2.867
amicable,Auditory,2.875
amicably,Auditory,2.579
amino,Gustatory,1.083
ammo,Visual,4.15
ammonia,Olfactory,4.6
ammonium,Olfactory,3
amnesia,Interoceptive,2.562
amnesiac,Interoceptive,1.842
amoeba,Visual,4
amorously,Interoceptive,3.636
amorousness,Interoceptive,3.5
amount,Visual,3.941
amphetamine,Interoceptive,3.156
amphibian,Visual,4.3
amphitheater,Visual,3.941
ampleness,Visual,3.714
amplification,Auditory,3.842
amplifier,Auditory,4.176
amplify,Auditory,3.529
amplitude,Auditory,3.5
amputate,Visual,3.857
amputation,Visual,4
amputee,Visual,4
amulet,Visual,4.235
amuse,Interoceptive,2.895
amused,Interoceptive,3.471
amusedly,Auditory,2.833
amusement,Auditory,2.667
amusement park,Visual,4.294
amuser,Auditory,3.444
amusing,Interoceptive,3.412
amusingly,Interoceptive,3.5
anaconda,Visual,4.706
anaesthetize,Interoceptive,2.882
anagram,Visual,4.059
anagrams,Visual,4
analgesic,Haptic,1.636
anally,Interoceptive,2.062
analogy,Auditory,3.4
analysis,Visual,3.824
anarchy,Visual,3.85
anchorwoman,Visual,4.095
anchovy,Gustatory,3.118
android,Visual,4.118
anecdotal,Auditory,3
anecdote,Auditory,3.533
anecdotic,Auditory,3.167
anemia,Interoceptive,3.25
anemic,Interoceptive,2.929
anesthesia,Interoceptive,2.562
anesthesiology,Interoceptive,2.933
anesthetic,Interoceptive,3.4
anesthetization,Interoceptive,3.176
anesthetize,Interoceptive,3
aneurism,Interoceptive,4.154
aneurysm,Interoceptive,3.588
angelfish,Visual,4.375
anger,Interoceptive,4.056
angers,Interoceptive,3.053
angle,Visual,3.895
angles,Visual,3.895
angrily,Interoceptive,3.242
angriness,Interoceptive,3.5
angry,Interoceptive,4.154
angst,Interoceptive,2.812
anguish,Interoceptive,3.412
anguished,Interoceptive,3.238
angular,Visual,3.647
angus,Visual,3.889
animal,Visual,4.556
animate,Visual,4.5
animatedly,Visual,3.933
animating,Visual,3.684
animation,Visual,4.444
anime,Visual,4.882
ankle,Visual,4.091
ankle bracelet,Visual,3.864
anklebone,Visual,4.25
annotation,Visual,3.944
announce,Auditory,4.722
announcement,Auditory,4.611
announcer,Auditory,4.25
annoy,Auditory,3.405
annoyance,Interoceptive,2.765
annoyed,Interoceptive,3.487
annoyer,Auditory,3.25
annoying,Auditory,2.722
annoyingly,Auditory,3.05
annoyingness,Auditory,3.471
annunciation,Auditory,4.625
anointment,Visual,3.6
anomaly,Visual,4.25
anorexia nervosa,Interoceptive,3.429
answer,Auditory,3.824
answerable,Auditory,2.125
answerably,Auditory,2.412
answerer,Auditory,3.625
answering machine,Auditory,4.15
answerless,Auditory,2.632
ant,Visual,4.267
antacid,Gustatory,3.438
antagonism,Auditory,3.111
antagonistically,Auditory,3.077
antagonize,Auditory,3.167
anteater,Visual,4
antelope,Visual,4.091
antennae,Visual,4.042
anthem,Auditory,4.529
antiaircraft,Visual,3.875
antibody,Interoceptive,1.7
anticensorship,Auditory,3.625
antichristian,Auditory,2.211
antichurch,Auditory,3.2
anticipate,Interoceptive,3.944
anticipation,Interoceptive,3.667
anticipative,Interoceptive,3.125
anticipatory,Interoceptive,3.214
anticlimactic,Interoceptive,2.438
anticlimax,Interoceptive,2.867
anticlockwise,Visual,4.118
anticoagulant,Interoceptive,1.538
anticommunism,Auditory,2.615
anticommunist,Auditory,3.062
antidemocratic,Auditory,2.294
antidepressant,Interoceptive,2.941
antidote,Interoceptive,3.235
antifundamentalist,Auditory,2.692
antiglare,Visual,3.944
antigovernment,Auditory,3
antigravity,Interoceptive,2.615
antihistamine,Interoceptive,3.333
antimilitarist,Auditory,2.273
antinationalist,Auditory,2.769
antipasto,Gustatory,4.083
antipathy,Interoceptive,1.75
antipatriotic,Auditory,2.647
antiperspirant,Olfactory,2.941
antipoetic,Auditory,3
antiquated,Visual,4.154
antiquation,Visual,3.667
antique,Visual,4.304
antiques,Visual,4.312
antiquing,Visual,3.75
antireligious,Auditory,3.25
antirust,Interoceptive,1.467
antisemitic,Auditory,3.471
antisemitism,Auditory,3.053
antiseptically,Olfactory,2.333
antisocial,Interoceptive,2.375
antisocialist,Auditory,2.667
antitrust,Auditory,2.188
antler,Visual,4.444
antlerless,Visual,4.062
antsy,Interoceptive,4.105
anvil,Visual,4.067
anxiety,Interoceptive,4.474
anxious,Interoceptive,4.222
anxiously,Interoceptive,4
anxiousness,Interoceptive,3.75
anyone,Visual,4.579
anything,Auditory,3.211
apart,Visual,3.8
apartment,Visual,4.222
apartment block,Visual,3.944
apartment building,Visual,3.688
apartments,Visual,4.444
apathetic,Interoceptive,3.176
apathetically,Interoceptive,2.737
apathy,Interoceptive,2.882
ape,Visual,4.222
apelike,Visual,4.333
aphrodisiac,Interoceptive,3.062
aphrodisiacal,Interoceptive,3.667
aplenty,Visual,3.667
apnea,Interoceptive,2.846
apologetic,Auditory,4.053
apologetically,Auditory,2.688
apologetics,Auditory,4.118
apologist,Auditory,3.188
apologize,Auditory,3.889
apologizer,Auditory,4.067
apology,Auditory,3.75
apothecary,Visual,4
app,Visual,4
appall,Interoceptive,2.375
appalled,Interoceptive,3.053
appalling,Auditory,2.706
appallingly,Auditory,2.267
apparel,Visual,4.444
apparent,Visual,3.611
apparently,Auditory,2.125
appeal,Auditory,2.844
appealable,Auditory,2.474
appealing,Visual,3.824
appear,Visual,3.938
appearance,Visual,4.8
appeasable,Auditory,2.316
appeaser,Auditory,2.6
appeasing,Auditory,3.25
appendage,Visual,4.105
appendicitis,Interoceptive,3.5
appetite,Interoceptive,4.056
appetizer,Gustatory,4.647
appetizing,Visual,4.05
appetizingly,Gustatory,3.45
applaud,Auditory,4.15
applauder,Auditory,3.471
applause,Auditory,4.833
apple,Gustatory,4.833
apple juice,Gustatory,4.556
apple pie,Gustatory,4.737
apple tree,Visual,4.158
applecart,Visual,4.5
